company,ticker,metric,lag_days,pearson_r,pearson_p,n
JPMorgan Chase,JPM,article_sentiment,-5,-0.0444,0.8569,19
JPMorgan Chase,JPM,article_sentiment,-4,0.1856,0.3261,30
JPMorgan Chase,JPM,article_sentiment,-3,0.3872,0.0507,26
JPMorgan Chase,JPM,article_sentiment,-2,0.6627,0.0011,21
JPMorgan Chase,JPM,article_sentiment,-1,0.1776,0.3309,32
JPMorgan Chase,JPM,article_sentiment,0,0.1636,0.1213,91
JPMorgan Chase,JPM,article_sentiment,1,0.2704,0.1345,32
JPMorgan Chase,JPM,article_sentiment,2,0.1247,0.5902,21
JPMorgan Chase,JPM,article_sentiment,3,0.2616,0.1967,26
JPMorgan Chase,JPM,article_sentiment,4,-0.079,0.6781,30
JPMorgan Chase,JPM,article_sentiment,5,0.3472,0.1453,19
JPMorgan Chase,JPM,reader_sentiment,-5,-0.154,0.5289,19
JPMorgan Chase,JPM,reader_sentiment,-4,0.2241,0.2338,30
JPMorgan Chase,JPM,reader_sentiment,-3,0.5376,0.0046,26
JPMorgan Chase,JPM,reader_sentiment,-2,0.5885,0.005,21
JPMorgan Chase,JPM,reader_sentiment,-1,0.1752,0.3375,32
JPMorgan Chase,JPM,reader_sentiment,0,0.1467,0.1653,91
JPMorgan Chase,JPM,reader_sentiment,1,0.2319,0.2016,32
JPMorgan Chase,JPM,reader_sentiment,2,0.0635,0.7844,21
JPMorgan Chase,JPM,reader_sentiment,3,0.2733,0.1767,26
JPMorgan Chase,JPM,reader_sentiment,4,0.0547,0.774,30
JPMorgan Chase,JPM,reader_sentiment,5,0.3485,0.1437,19
