symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg
GS,1/2/2019,164.3300018,172.25,163.3500061,172.0299988,3999400,149.1396027,Casual Investors,-0.376813287,0.0,-1.351513603,25.89099,,,0.052919455,,,
GS,1/3/2019,170.6600037,171.7700043,168.2899933,169.5099945,4060200,146.9549408,Casual Investors,-0.423141794,3.61e-09,-0.35138587,25.81094,-0.014756783,,0.020460423,,,
GS,1/4/2019,172.9900055,176.0,171.1000061,175.0500031,3788300,151.757782,Casual Investors,-1.680892287,8.63e-09,1.040046618,27.50526,0.032159696,,0.028157647,,,
GS,1/7/2019,175.2299957,177.8300018,172.2700043,176.0200043,3152100,152.5987091,Casual Investors,-1.3790955,1.76e-09,-0.864188195,26.58036,0.005525949,,0.031658349,,,
GS,1/8/2019,177.7799988,178.1000061,172.8999939,175.3699951,2692700,152.0352173,Casual Investors,-0.544282246,1.37e-09,-0.971358838,25.57258,-0.003699473,,0.029449312,,,-0.331211432
GS,1/9/2019,176.1000061,177.6900024,174.9100037,176.4700012,3321400,152.9888306,Casual Investors,0.120351508,1.89e-09,-0.828011342,24.80921,0.006252729,,0.015769911,,,-0.03022592
GS,1/10/2019,175.6600037,178.0700073,175.5,176.0,2808700,152.5813751,Casual Investors,-0.293947548,9.48e-10,-1.088652275,23.74688,-0.002666855,,0.014616432,,,-0.142427114
GS,1/11/2019,175.1000061,177.0399933,172.4199982,176.9299927,3182700,153.3876038,Casual Investors,0.154723483,1.66e-09,-0.891286021,23.00641,0.005270015,,0.026247735,,,0.061211462
GS,1/14/2019,174.5200043,179.5399933,174.1000061,178.7200012,3361700,154.9394531,Casual Investors,0.009864442,3.01e-09,-0.517233287,22.79318,0.01006634,,0.030800516,,,0.113376281
GS,1/15/2019,178.3200073,179.9900055,176.3999939,179.9100037,2911800,155.9711304,Casual Investors,0.215648658,2.29e-09,-0.717597268,22.3268,0.006636513,,0.020043053,,,-0.084526293
GS,1/16/2019,187.0,198.1499939,185.6000061,197.0800018,15194200,170.8564606,Casual Investors,-0.054538166,6.28e-09,0.38968402,23.04875,0.091152864,,0.065350905,,,1.600466613
GS,1/17/2019,195.9499969,199.8000031,192.8300018,199.0899963,8177000,172.5990143,Casual Investors,-0.834225966,1.25e-09,-1.005755456,22.14627,0.010147276,,0.035287573,,,0.282826569
GS,1/18/2019,200.3800049,203.0,196.9100037,202.5399933,5650900,175.5899506,Casual Investors,-1.28914803,3.07e-09,-0.501427574,21.86985,0.017180383,,0.030229308,,,-0.271174172
GS,1/22/2019,200.5,201.4700012,195.9199982,197.6799927,4648500,171.3766174,Casual Investors,0.218188939,5.16e-09,0.079438039,22.35424,-0.024287875,,0.027876855,,,-0.540829193
GS,1/23/2019,197.5500031,198.0899963,194.5299988,196.8999939,3410700,170.7003937,Casual Investors,0.040441549,1.16e-09,-1.030807676,21.47048,-0.00395364,,0.018050438,,,-0.903413143
GS,1/24/2019,196.2200012,199.6799927,195.7599945,197.8000031,2631800,171.4806519,Casual Investors,-0.037274535,1.74e-09,-0.870050982,20.82658,0.004560507,,0.019897458,,,-0.731935038
GS,1/25/2019,199.8300018,201.1900024,199.4199982,200.7400055,3275000,174.0294647,Casual Investors,-0.153838353,4.54e-09,-0.093390401,21.11311,0.014754179,,0.008837428,,,-0.221120132
GS,1/28/2019,197.9900055,200.0700073,197.1000061,199.7200012,2369600,173.1451874,Casual Investors,-0.318040563,2.14e-09,-0.757081407,20.62207,-0.005094146,,0.014935512,,,-0.387610279
GS,1/29/2019,199.0,201.9700012,197.8699951,200.5,2694100,173.8213654,Casual Investors,0.219819939,1.45e-09,-0.949677885,19.92827,0.00389766,,0.020525688,,,-0.081127111
GS,1/30/2019,200.8999939,203.2899933,199.6499939,202.4799957,2773300,175.5379333,Casual Investors,0.280966812,3.56e-09,-0.364387462,19.94652,0.009827028,,0.018047496,,,0.011122456
GS,1/31/2019,200.1000061,202.3500061,196.9499969,198.0099945,5604500,171.6627197,Casual Investors,-0.092018888,3.94e-09,-0.25957192,20.1338,-0.022323544,,0.027128227,,,0.701838602
GS,2/1/2019,198.0,199.6399994,196.5399933,196.5399933,3174200,170.3883057,Casual Investors,0.215588281,2.34e-09,-0.703159998,19.77702,-0.007451637,,0.015714534,,,-0.056996943
GS,2/4/2019,195.8000031,197.7599945,194.7899933,197.7200012,2400200,171.4113007,Casual Investors,0.303002787,2.5e-09,-0.658091079,19.48462,0.005985952,,0.015094537,,,-0.394636757
GS,2/5/2019,198.1199951,199.3300018,196.8600006,198.0099945,2601000,171.6627197,Casual Investors,0.404691035,5.64e-10,-1.195188019,18.57404,0.001465684,,0.01247066,,,-0.293446854
GS,2/6/2019,197.1799927,199.0599976,195.8300018,196.6199951,2063100,170.4576721,Casual Investors,0.512645701,3.4e-09,-0.408279297,18.66389,-0.007044611,,0.016404245,,,-0.512706942
GS,2/7/2019,195.2799988,195.8800049,191.0500031,193.0700073,2948800,167.3800049,Casual Investors,0.368191991,6.12e-09,0.34583654,19.70296,-0.018220303,,0.024874478,,,0.141537545
GS,2/8/2019,191.7200012,192.6199951,188.2200012,191.6699982,2757500,166.1663055,Casual Investors,-0.239847407,2.63e-09,-0.62255365,19.49053,-0.007277578,,0.022953097,,,0.096724598
GS,2/11/2019,192.8800049,193.3200073,191.0700073,191.3300018,2056500,165.8716125,Casual Investors,0.056385365,8.62e-10,-1.112452024,18.688,-0.001775057,,0.011712345,,,-0.231655724
GS,2/12/2019,193.0500031,195.6499939,193.0,194.4900055,2392900,168.6110535,Casual Investors,0.57610271,6.9e-09,0.56175953,19.93317,0.016380533,,0.013675976,,,-0.026221376
GS,2/13/2019,195.9199982,198.7799988,194.6000061,194.6900024,2757300,168.7844543,Casual Investors,-0.098793649,3.73e-10,-1.248120187,18.93517,0.001027879,,0.021402384,,,0.082511177
GS,2/14/2019,192.2100067,194.1300049,189.4400024,192.5299988,2865000,166.9118958,Casual Investors,0.034909065,3.87e-09,-0.278043393,19.19049,-0.01115638,,0.024380113,,,0.139864042
GS,2/15/2019,193.2100067,198.8899994,193.1000061,198.5,3065400,172.0874939,Casual Investors,-0.65076893,1.01e-08,1.452613898,21.38352,0.03053693,,0.029562652,,,0.196742917
GS,2/19/2019,196.6600037,199.0599976,195.6100006,198.6699982,2558200,172.2348633,Casual Investors,-0.154814376,3.35e-10,-1.25871635,20.28329,0.000855997,,0.017453757,,,-0.079597584
GS,2/20/2019,198.7299957,199.3000031,197.5099945,198.6000061,2266000,172.1742401,Casual Investors,-0.041837488,1.55e-10,-1.30845407,19.19039,-0.000352042,,0.009010186,,,-0.215693094
GS,2/21/2019,198.9700012,199.4499969,195.0500031,196.3600006,2785900,170.2322388,Casual Investors,0.744695497,4.05e-09,-0.229165754,19.46235,-0.011343373,,0.022259853,,,0.035531772
GS,2/22/2019,196.6000061,197.75,195.1999969,196.0,2626600,169.9201813,Casual Investors,0.922503416,6.98e-10,-1.15804499,18.60014,-0.00183481,,0.012990336,,,-0.015966801
GS,2/25/2019,198.0,201.5,197.7100067,198.6499939,3032200,172.2175598,Casual Investors,0.383033502,4.46e-09,-0.115448331,19.01009,0.013429755,,0.019110013,,,0.169603488
GS,2/26/2019,198.4700012,200.5599976,196.5500031,198.8999939,2499800,172.4342499,Casual Investors,0.210573348,5.03e-10,-1.211983487,18.10616,0.001257444,,0.020182674,,,-0.068738152
