symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg
STT,1/2/2019,61.99000168,64.11000061,61.86000061,63.93000031,2420500,52.60649872,Casual Investors,-0.82861742,0.0,-1.1471583,86.1503,,,0.035736975,,,
STT,1/3/2019,63.36999893,63.36999893,61.68000031,61.84999847,3935400,50.89490891,Casual Investors,-2.00783056,8.27e-09,0.302646731,91.40123,-0.033076765,,0.026992472,,,
STT,1/4/2019,63.09999847,64.23999786,62.52999878,64.19000244,4080600,52.82044983,Casual Investors,-1.439950837,9.27e-09,0.478736998,96.76496,0.037135526,,0.026867768,,,
STT,1/7/2019,63.81999969,65.58999634,63.15000153,64.98999786,4119900,53.47874069,Casual Investors,-0.761918108,3.03e-09,-0.616680462,94.21029,0.012385782,,0.037885178,,,
STT,1/8/2019,66.0,66.34999847,64.23000336,65.26999664,2784000,53.70913696,Casual Investors,-0.0283422,1.55e-09,-0.875787428,90.05001,0.004298931,,0.032299766,,,-0.267847656
STT,1/9/2019,65.58000183,67.23999786,65.36000061,66.77999878,2882800,54.95168686,Casual Investors,-1.212356486,8.03e-09,0.26015029,93.68433,0.022871243,,0.028407332,,,-0.257639487
STT,1/10/2019,66.30999756,67.08999634,66.05000305,66.51000214,2699900,54.72952271,Casual Investors,-1.127955062,1.5e-09,-0.884565105,89.46699,-0.004051094,,0.015660191,,,-0.250024454
STT,1/11/2019,66.25,67.47000122,65.68000031,67.01000214,1840600,55.14096451,Casual Investors,0.834404859,4.08e-09,-0.430906833,88.55468,0.007489613,,0.026864789,,,-0.528270103
STT,1/14/2019,66.94999695,68.98999786,66.54000092,68.45999908,3020200,56.33411789,Casual Investors,-0.078744754,7.16e-09,0.109231504,91.08845,0.021407456,,0.036186353,,,0.168514265
STT,1/15/2019,68.45999908,68.88999939,67.91000366,68.66000366,2201900,56.498703,Casual Investors,-1.700200953,1.33e-09,-0.914477982,86.78854,0.002917329,,0.014293986,,,-0.17036479
STT,1/16/2019,69.26999664,70.94999695,69.01999664,70.47000122,2990100,57.98810959,Casual Investors,-2.513141023,8.82e-09,0.398904986,91.02115,0.0260203,,0.027622733,,,0.203042434
STT,1/17/2019,69.69000244,71.44999695,69.38999939,71.05000305,4718300,58.46536636,Casual Investors,-1.229755654,1.74e-09,-0.841267942,87.13261,0.008196569,,0.029273802,,,0.629891724
STT,1/18/2019,75.5,77.0,69.87999725,71.30000305,10251700,58.67108536,Casual Investors,0.098018894,3.43e-10,-1.086969177,81.95211,0.003512471,,0.09700276,,,1.154149045
STT,1/22/2019,69.30000305,70.59999847,68.75,70.58999634,4663200,58.08685684,Casual Investors,-0.394401649,2.14e-09,-0.77269197,79.14643,-0.0100076,,0.026449331,,,-0.077803376
STT,1/23/2019,70.76999664,71.18000031,69.80999756,70.81999969,2470200,58.2761116,Casual Investors,-0.453920038,1.32e-09,-0.915858634,75.59776,0.003252838,,0.019351688,,,-0.828386868
STT,1/24/2019,70.72000122,72.08000183,70.61000061,71.31999969,2977300,58.68754959,Casual Investors,-0.091970529,2.37e-09,-0.731315284,73.43811,0.007035342,,0.020698412,,,-0.618420232
STT,1/25/2019,72.12999725,73.08999634,72.09999847,72.63999939,2003100,59.77375031,Casual Investors,0.484972783,9.24e-09,0.473157492,78.76997,0.018339005,,0.013676838,,,-0.932699721
STT,1/28/2019,71.87000275,72.33000183,71.41999817,71.52999878,3198200,58.86035538,Casual Investors,-1.374603627,4.78e-09,-0.309280546,79.0988,-0.015398826,,0.012691822,,,0.054537214
STT,1/29/2019,71.37999725,71.97000122,70.58999634,70.62999725,2931800,58.11978912,Casual Investors,-2.271607966,4.29e-09,-0.394591793,78.9194,-0.01266157,,0.019435321,,,0.09646372
STT,1/30/2019,70.72000122,71.55000305,69.77999878,71.01999664,3053000,58.44068527,Casual Investors,-1.338959922,1.81e-09,-0.830017689,75.92534,0.005506102,,0.024975368,,,0.094537468
STT,1/31/2019,70.58999634,71.26999664,70.38999939,70.90000153,3851300,58.34196091,Casual Investors,-1.788008095,4.39e-10,-1.070238192,71.61367,-0.001690737,,0.012439003,,,0.320033179
STT,2/1/2019,71.18000031,71.73999786,70.81999969,71.16999817,2856700,58.56411743,Casual Investors,1.166320544,1.33e-09,-0.913408308,68.57965,0.003800603,,0.012925861,,,-0.131622871
STT,2/4/2019,71.41000366,71.69000244,70.80000305,71.09999847,3758400,58.50653076,Casual Investors,0.022527746,2.62e-10,-1.101278074,64.56264,-0.000983794,,0.012490343,,,0.169252792
STT,2/5/2019,71.22000122,71.41000366,70.48999786,70.91000366,1874100,58.35017776,Casual Investors,0.148571722,1.43e-09,-0.897096536,62.11206,-0.00267598,,0.012945976,,,-0.589702786
STT,2/6/2019,70.63999939,71.16999817,69.98999786,70.23999786,3692100,57.79882813,Casual Investors,-2.439156317,2.56e-09,-0.698361611,61.13673,-0.009493904,,0.01675185,,,0.179603227
STT,2/7/2019,70.08000183,70.44999695,69.16000366,69.76000214,4183200,57.40385437,Casual Investors,-1.5731396,1.63e-09,-0.860688553,59.18854,-0.00685705,,0.01844956,,,0.317468876
STT,2/8/2019,69.38999939,69.62999725,67.90000153,68.95999908,2686200,56.74555588,Casual Investors,-0.725240047,4.27e-09,-0.398503437,60.44128,-0.011534108,,0.025008974,,,-0.22884538
STT,2/11/2019,69.25,69.41999817,68.61000061,68.79000092,3035200,56.60567856,Casual Investors,0.285666101,8.12e-10,-1.004739829,57.61723,-0.002468035,,0.011735693,,,-0.023991646
STT,2/12/2019,69.37000275,70.20999908,69.31999969,69.51000214,4201800,57.19813538,Casual Investors,-2.630890435,2.49e-09,-0.71034132,56.8671,0.010411991,,0.012816811,,,0.21198025
STT,2/13/2019,69.93000031,70.05999756,69.45999908,69.48999786,3827300,57.18170547,Casual Investors,-0.559872321,7.51e-11,-1.133997001,53.43203,-0.000287287,,0.008607065,,,0.08182536
STT,2/14/2019,68.77999878,69.09999847,67.27999878,68.66000366,2352800,56.498703,Casual Investors,-0.223321234,5.08e-09,-0.256895251,56.03278,-0.012016331,,0.026484279,,,-0.379174718
STT,2/15/2019,69.26000214,71.23000336,69.16000366,70.66000366,3620600,58.14445877,Casual Investors,-1.785030495,8.05e-09,0.263703741,61.44673,0.0287129,,0.029588331,,,0.076404106
STT,2/19/2019,69.63999939,71.62000275,69.44999695,71.37000275,2308600,58.72869873,Casual Investors,-0.707123299,4.35e-09,-0.383898442,62.41886,0.00999793,,0.030778041,,,-0.416300244
STT,2/20/2019,71.31999969,72.40000153,71.19999695,72.23999786,2366300,59.44459152,Casual Investors,3.023270252,5.15e-09,-0.243787609,64.13388,0.012116131,,0.016717813,,,-0.246351838
STT,2/21/2019,72.12000275,72.37999725,71.63999939,72.18000031,2256200,59.39522934,Casual Investors,-1.647384403,3.68e-10,-1.082616273,60.53076,-0.000830735,,0.01025638,,,-0.165423912
STT,2/22/2019,72.44999695,72.69000244,71.91999817,72.40000153,2482500,59.5762558,Casual Investors,-2.244339655,1.23e-09,-0.931860584,58.10821,0.003043193,,0.010631747,,,-0.060726506
STT,2/25/2019,72.12999725,73.06999969,72.12999725,72.47000122,3278800,59.63386917,Casual Investors,-1.108754616,2.95e-10,-1.095436533,54.82767,0.000966585,,0.013001417,,,0.331616411
STT,2/26/2019,72.43000031,73.33000183,72.23999786,72.65000153,2633100,59.78198242,Casual Investors,-1.972746913,9.43e-10,-0.981744492,52.47065,0.002480631,,0.015026247,,,0.014209321
STT,2/27/2019,72.73000336,72.86000061,72.20999908,72.44000244,1700700,59.60916901,Casual Investors,-1.01116963,1.7e-09,-0.849088746,51.10536,-0.002894914,,0.008955039,,,-0.448281936
STT,2/28/2019,72.55000305,72.56999969,71.59999847,71.87000275,1806200,59.14014816,Casual Investors,0.688498342,4.36e-09,-0.383232063,52.79041,-0.007899385,,0.013433059,,,-0.334530606
STT,3/1/2019,72.44999695,73.36000061,72.20999908,72.80000305,2362700,59.9054184,Casual Investors,0.276212931,5.48e-09,-0.186736477,55.46268,0.012856939,,0.015834789,,,0.003391702
STT,3/4/2019,73.0,73.65000153,71.23999786,71.48999786,1840100,58.82741928,Casual Investors,-1.212802693,9.78e-09,0.567782219,62.95865,-0.018158898,,0.033358761,,,-0.144269481
STT,3/5/2019,71.43000031,71.77999878,70.25,71.52999878,1583700,58.86035538,Casual Investors,-0.957459204,3.54e-10,-1.085163167,59.4174,0.00055972,,0.021404572,,,-0.196421034
STT,3/6/2019,71.61000061,71.91000366,70.37000275,70.5,1166900,58.01279068,Casual Investors,-1.049412539,1.23e-08,1.016828105,69.66325,-0.014504265,,0.021673364,,,-0.486542238
STT,3/7/2019,70.16000366,70.23999786,68.05999756,68.37999725,3059700,56.26829529,Casual Investors,-1.108140246,9.83e-09,0.576318378,76.8241,-0.030532277,,0.031471059,,,0.565380484
STT,3/8/2019,67.83000183,68.23999786,67.05999756,68.09999847,2059500,56.03789139,Casual Investors,-0.991781039,1.99e-09,-0.798498032,74.26912,-0.004103144,,0.017361882,,,0.073999662
STT,3/11/2019,68.44999695,68.81999969,68.02999878,68.69000244,1853100,56.52339935,Casual Investors,-4.65804781,4.68e-09,-0.327271478,74.9305,0.008626606,,0.011521087,,,-0.059878376
STT,3/12/2019,68.98999786,69.34999847,68.83000183,69.0,1926200,56.77846527,Casual Investors,-2.016194615,2.34e-09,-0.736329417,72.87002,0.004502421,,0.007536729,,,-0.054848384
STT,3/13/2019,69.48000336,70.11000061,68.79000092,69.84999847,1620700,57.47793198,Casual Investors,0.061087169,7.6e-09,0.185807337,76.82278,0.012243961,,0.018947817,,,-0.316730207
STT,3/14/2019,69.87999725,70.72000122,69.76999664,70.29000092,1918200,57.83999252,Casual Investors,1.054509738,3.28e-09,-0.571288411,75.64528,0.006279366,,0.013555034,,,0.02819322
STT,3/15/2019,69.23999786,70.41999817,68.70999908,70.09999847,4438300,57.68363571,Casual Investors,2.303292074,6.09e-10,-1.040348744,71.54405,-0.002706925,,0.024544268,,,0.886201385
STT,3/18/2019,70.47000122,71.08999634,70.25,70.81999969,1946400,58.2761116,Casual Investors,-1.033779288,5.28e-09,-0.22176969,72.89426,0.010218736,,0.011890386,,,-0.240602259
STT,3/19/2019,71.37999725,71.63999939,69.93000031,70.16000366,1484600,57.7330246,Casual Investors,-0.016210316,6.28e-09,-0.046360438,75.39574,-0.0093629,,0.024162768,,,-0.513476022
STT,3/20/2019,69.91000366,69.91999817,68.23999786,68.26000214,2863400,56.16955948,Casual Investors,-0.26202879,9.46e-09,0.511359182,81.74042,-0.027454396,,0.024317873,,,0.15719803
STT,3/21/2019,67.75,68.52999878,66.81999969,68.08000183,1936900,56.02143478,Casual Investors,-2.038371847,1.36e-09,-0.908400571,78.12238,-0.002640582,,0.025178518,,,-0.325912038
STT,3/22/2019,67.25,67.43000031,64.62999725,65.0,3144900,53.48697662,Casual Investors,-0.009561242,1.44e-08,1.375522179,91.0791,-0.046296185,,0.042344092,,,0.424132493
STT,3/25/2019,65.08000183,65.76999664,64.45999908,64.87999725,1855200,53.38822937,Casual Investors,-1.926276697,9.95e-10,-0.972646649,86.46989,-0.001847899,,0.020160012,,,-0.239588019
STT,3/26/2019,65.52999878,66.22000122,65.27999878,66.18000031,1397800,54.45796967,Casual Investors,-3.00190652,1.43e-08,1.366614311,97.92162,0.019838907,,0.01427382,,,-0.561229268
STT,3/27/2019,66.25,66.40000153,65.15000153,65.51999664,1782200,53.91485977,Casual Investors,-0.848800824,5.6e-09,-0.165844248,98.42494,-0.010023074,,0.018972452,,,-0.156296603
STT,3/28/2019,65.63999939,66.30999756,65.38999939,66.26999664,1549000,54.53202438,Casual Investors,0.729489179,7.39e-09,0.148765024,100.8664,0.011382001,,0.013948877,,,-0.277800453
STT,3/29/2019,66.43000031,66.72000122,65.69999695,65.80999756,2106200,54.54030609,Casual Investors,0.493611476,7.21e-11,-1.134513649,94.46926,0.000151857,,0.015426562,,0.045807066,0.246506898
STT,4/1/2019,66.45999908,67.97000122,66.36000061,67.58999634,2491600,56.0154953,Casual Investors,-2.565710994,1.09e-08,0.756504495,100.8529,0.026688365,,0.024020898,,0.04571292,0.377133705
STT,4/2/2019,67.48000336,68.26999664,67.08999634,67.20999908,1322900,55.70056915,Casual Investors,-3.975127338,4.25e-09,-0.401891608,99.35146,-0.005637989,,0.017521721,,0.04571292,-0.404406267
STT,4/3/2019,67.91000366,68.5,67.66000366,68.02999878,1179300,56.38014984,Casual Investors,-0.572515629,1.03e-08,0.66708399,104.8484,0.012126778,,0.012358339,,0.04571292,-0.459639434
STT,4/4/2019,68.23000336,69.23000336,67.98000336,68.63999939,1000300,56.88570404,Casual Investors,-4.897300339,8.96e-09,0.424830386,108.2858,0.008926919,,0.018265507,,0.04571292,-0.573500468
STT,4/5/2019,68.90000153,69.13999939,68.22000122,68.56999969,1125700,56.82767487,Casual Investors,-0.735721895,9.06e-10,-0.988245537,102.3242,-0.001020622,,0.013384712,,0.04571292,-0.286076227
STT,4/8/2019,68.59999847,69.18000031,68.30999756,69.15000153,970600,57.30834579,Casual Investors,-0.195364234,8.71e-09,0.381061672,105.5779,0.008422823,,0.012631619,,0.04571292,-0.175714505
STT,4/9/2019,68.70999908,68.75,67.69000244,68.43000031,1358800,56.71165085,Casual Investors,-0.356234949,7.66e-09,0.196587553,107.6004,-0.010466592,,0.01545862,,0.04571292,0.239901712
STT,4/10/2019,68.0,69.05999756,67.73000336,69.0,1477300,57.18402863,Casual Investors,-2.149877136,5.64e-09,-0.15840793,107.0426,0.008294968,,0.019415974,,0.04571292,0.282393615
STT,4/11/2019,69.40000153,70.36000061,69.11000061,69.51999664,1285000,57.61498642,Casual Investors,-1.761939978,5.86e-09,-0.118680191,106.7279,0.007508075,,0.017995969,,0.04571292,0.041227394
STT,4/12/2019,70.86000061,72.0,70.44000244,71.02999878,1626800,58.86641312,Casual Investors,-0.11460936,1.34e-08,1.194232872,114.4486,0.021487978,,0.02198883,,0.04571292,0.245297493
STT,4/15/2019,70.90000153,71.48000336,69.94999695,70.12000275,1163500,58.11224747,Casual Investors,-0.852842977,1.1e-08,0.78379146,119.4472,-0.012894251,,0.02169914,,0.04571292,-0.211107506
STT,4/16/2019,70.47000122,71.79000092,70.40000153,71.70999908,1103100,59.42997742,Casual Investors,-0.990305336,2.06e-08,2.457648959,133.953,0.022422328,,0.019552671,,0.04571292,-0.229847527
STT,4/17/2019,70.30999756,70.36000061,68.84999847,69.62999725,2361400,57.70615387,Casual Investors,-1.553431817,1.23e-08,1.006892162,139.2873,-0.029434949,,0.021580709,,0.04571292,0.601052896
STT,4/18/2019,69.51000214,70.36000061,69.16999817,69.95999908,1799100,57.97964478,Casual Investors,-4.757821353,2.63e-09,-0.685199074,133.1558,0.004728176,,0.017064637,,0.04571292,0.140231732
STT,4/22/2019,69.90000153,70.33000183,69.26999664,69.90000153,2216800,57.92991257,Casual Investors,1.842248256,3.87e-10,-1.079304548,124.9188,-0.000858121,,0.015164595,,0.04571292,0.32183565
STT,4/23/2019,68.0,68.30000305,64.66000366,66.86000061,6216900,55.41051483,Casual Investors,-1.793417121,7e-09,0.079597637,125.2047,-0.044464502,,0.053981898,,0.046228413,1.201279485
STT,4/24/2019,66.48000336,66.94000244,65.54000092,66.12999725,2561100,54.80550766,Casual Investors,-2.407057348,4.26e-09,-0.399539886,122.1617,-0.010978681,,0.021114569,,0.046228413,-0.206505176
STT,4/25/2019,65.86000061,67.70999908,65.48999786,67.08999634,2477300,55.60112762,Casual Investors,-0.996703728,5.86e-09,-0.119518175,121.0419,0.014412788,,0.033396033,,0.046228413,-0.255504876
STT,4/26/2019,67.0,67.20999908,65.95999908,67.13999939,1512300,55.64255905,Casual Investors,-1.656170619,4.93e-10,-1.060751778,113.7682,0.000744877,,0.018637245,,0.046228413,-0.800694848
STT,4/29/2019,67.26999664,68.87000275,67.13999939,68.40000153,2136400,56.68677902,Casual Investors,-1.267588302,8.78e-09,0.393266559,116.4,0.01859265,,0.025503109,,0.046228413,-0.401494181
STT,4/30/2019,68.45999908,68.69000244,66.83999634,67.66000366,1961000,56.07349777,Casual Investors,-1.954577173,5.52e-09,-0.179686086,115.3058,-0.010877719,,0.027181987,,0.046228413,-0.102090258
STT,5/1/2019,67.72000122,68.19999695,65.83999634,66.33000183,3507200,54.9712677,Casual Investors,-6.124076889,5.6e-09,-0.164296935,114.5401,-0.019852647,,0.035210751,,0.046228413,0.550854525
STT,5/2/2019,66.44000244,67.16999817,65.80000305,66.51000214,2152700,55.12044144,Casual Investors,2.255102782,1.26e-09,-0.926097726,108.618,0.002709992,,0.020609177,,0.046228413,-0.057112605
STT,5/3/2019,66.75,67.45999908,66.69000244,67.20999908,1699100,55.70056915,Casual Investors,1.756114162,6.19e-09,-0.060907333,108.7926,0.01046973,,0.011495919,,0.046228413,-0.361622663
STT,5/6/2019,65.80000305,66.84999847,64.45999908,66.58000183,1973100,55.17845917,Casual Investors,2.019696454,4.75e-09,-0.314069189,107.3919,-0.00941772,,0.036108163,,0.046228413,-0.166262358
STT,5/7/2019,65.51000214,65.70999908,64.36000061,64.98999786,2757300,53.86072922,Casual Investors,-0.085230966,8.66e-09,0.371678166,111.0481,-0.024171018,,0.020689632,,0.046228413,0.167086231
