text_metric,market_metric,market_metric_key,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
Article Sentiment,Original Return Column,r,169,0.157,0.0414,0.1704,0.0268,0.157
Article Sentiment,Daily Return,daily_return,169,0.1552,0.0439,0.1351,0.0798,0.1552
Reader Sentiment,Original Return Column,r,169,0.1529,0.0472,0.1862,0.0154,0.1529
Reader Sentiment,Daily Return,daily_return,169,0.1516,0.0491,0.1567,0.0419,0.1516
Reader Emotion Intensity,Volume,volume,169,-0.1452,0.0596,-0.0496,0.5223,0.1452
Reader Emotion Intensity,Turnover Ratio,turnover_ratio,169,-0.1452,0.0596,-0.0496,0.5223,0.1452
Reader Emotion Intensity,Dollar Volume,dollar_volume,169,-0.1201,0.1197,-0.0278,0.7198,0.1201
Article Sentiment,Downside Risk,downside_risk,169,0.1101,0.1543,0.1722,0.0251,0.1101
Article Emotion Intensity,Volume,volume,169,-0.1092,0.1575,-0.0786,0.3097,0.1092
Article Emotion Intensity,Turnover Ratio,turnover_ratio,169,-0.1092,0.1575,-0.0786,0.3097,0.1092
Article Emotion Intensity,VaR 1%,var1pct,169,0.1056,0.1716,0.1357,0.0785,0.1056
Article Emotion Intensity,Dollar Volume,dollar_volume,169,-0.0972,0.2089,-0.0638,0.4096,0.0972
Article Sentiment,ILLIQ,illiq,169,0.0971,0.2092,0.1016,0.1888,0.0971
Article Emotion Intensity,Intraday Change,intra_day_chg,169,-0.0919,0.2349,-0.0632,0.414,0.0919
Reader Emotion Intensity,Stock Close,close,169,0.085,0.2719,0.0865,0.2634,0.085
Reader Emotion Intensity,Typical Price,typical_price,169,0.0849,0.2724,0.0875,0.2577,0.0849
Reader Emotion Intensity,VWAP Proxy,vwap_proxy,169,0.0849,0.2724,0.0875,0.2577,0.0849
Reader Emotion Intensity,Adjusted Close,adjusted_close,169,0.084,0.2775,0.0817,0.2909,0.084
Reader Sentiment,ILLIQ,illiq,169,0.0774,0.3171,0.0731,0.345,0.0774
Reader Sentiment,Downside Risk,downside_risk,169,0.0759,0.3264,0.1015,0.1892,0.0759
Reader Sentiment,HL Spread,hl_spread,169,-0.0742,0.3376,-0.0615,0.4272,0.0742
Reader Emotion Intensity,Cumulative VWAP Proxy,vwap_cum,169,0.0693,0.3709,0.0694,0.3702,0.0693
Reader Sentiment,Volatility,volatility,169,0.0643,0.4062,0.0862,0.265,0.0643
Article Emotion Intensity,Downside Risk,downside_risk,169,0.0611,0.4301,0.0535,0.4897,0.0611
Article Sentiment,VaR 1%,var1pct,169,0.0577,0.456,0.1393,0.0708,0.0577
Article Sentiment,Volatility,volatility,169,0.0548,0.4792,0.1062,0.1692,0.0548
Reader Sentiment,Kyle Lambda Proxy,kyle_lambda_proxy,169,-0.0526,0.497,-0.0386,0.6184,0.0526
Article Emotion Intensity,ILLIQ,illiq,169,0.0525,0.4977,0.0672,0.3855,0.0525
